name,infrastructure_type,latitude,longitude
Ramanathapuram police station,police,10.9975827,76.997871
Vasan Eye Care Hospital,hospital,11.0124743,76.9862396
Coimbatore Kidney Centre,hospital,11.009415,76.9893791
B1 POLICE STATION,police,10.9924847,76.9591307
Clinic - Dr.Rajashree,hospital,10.9978977,76.9893923
K. J. Hospital,hospital,10.9414068,76.9369908
Rajans Hospital (P) Ltd.,hospital,9.3621517,78.8344145
Vasan Eye Care Hospital,hospital,13.0015307,80.2552541
,hospital,11.1007563,77.3563728
,hospital,13.0584072,80.2011738
,police,13.0576855,80.2041548
Ashwini Eye Care,hospital,13.1187083,80.1572422
Kollencode Police Station,police,8.2937626,77.114347
Kollencode Fire Station,fire_station,8.2844146,77.1171714
Police Station,police,11.3630177,77.7476505
Government Hospital,hospital,11.3608508,77.747453
,police,10.988383,76.9354528
A D J Hospital,hospital,8.3354591,77.8640852
Tisaiyanvillai Police Station,police,8.3366712,77.8541616
Tisaiyanvillai Fire Station,fire_station,8.3371569,77.8530512
Jerry Hospital,hospital,8.336738,77.864386
Auroville Health Center,hospital,11.9870653,79.8342576
Shastri Nagar Police Station,police,13.0006116,80.2659307
"Assured Best Care Hospital (P) Ltd., ( Abc Hospital)",hospital,10.8308335,78.6848076
,hospital,12.8793817,79.1340678
Bagayam Police Station,police,12.8757507,79.1336955
"Government Hospital, Kilakarai",hospital,9.2346623,78.7860322
,police,9.2399184,78.7819267
St. Lukes Hospital,hospital,8.5584834,77.9701379
Palani Town Police Station,police,10.4528743,77.5155698
"Sri Kumaran Hospital, Tiruppur",hospital,11.1307528,77.3412468
Prime Care Nursing Home,hospital,12.9799192,80.2044922
Government Hospital,hospital,12.3048002,78.2060881
,hospital,12.3064093,78.2029177
,hospital,12.3098055,78.2041837
,police,12.3043547,78.203113
ESI Hospital,hospital,11.1196849,77.3492741
Tiruppur North,police,11.1066254,77.3427939
,police,12.5292856,78.2057273
St.Louis Hospital,hospital,12.5252135,78.2149263
Government Hospital,hospital,12.5246441,78.2199165
